尚可;shàngkě;THƯỢNG KHẢ;"tạm ổn; tạm được; cũng được";""
废墟;fèixū;PHẾ HƯ;"đống hoang tàn; đống đổ nát; đống gạch vụn";""
杜绝;dùjué;ĐỖ TUYỆT;"ngăn chặn; tiêu diệt; diệt sạch";""
投入;tóurù;ĐẦU NHẬP;"bước vào; tham gia; dấn thân vào";""
污秽;wūhuì;Ô UẾ;"dơ; bẩn; dơ bẩn";""
可惜;kěxī;KHẢ TÍCH;"đáng tiếc; tiếc là; tiếc thay";""
瓶颈;píngjǐng;BÌNH CẢNH;"điểm nghẽn; khó khăn; trở ngại";""
融化;rónghuà;DUNG HOÁ;"tan; hoà tan; tan chảy";""
偏偏;piānpiān;THIÊN THIÊN;"lại; cứ; cố ý";""
玫瑰;méigui;MAI CÔI;"hoa hồng; cây hoa hồng";""
酸痛;suāntòng;TOAN THỐNG;"đau mỏi; đau nhức; nhức mỏi (thân thể)";""
心胸狭隘;xīnxiōng xiá'ài;TÂM HUNG HIỆP ẢI;"nhỏ nhen, hẹp hòi; nhỏ nhen";""
暴躁;bàozào;BẠO TÁO;"nóng nảy; cáu kỉnh; nổi nóng";""
惩罚;chéngfá;TRỪNG PHẠT;"phạt; nghiêm trị; nghiêm khắc trừng trị";""
投;tóu;ĐẦU;"ném; quăng; bỏ vào";""
切勿;qiè wù;THIẾT VẬT;"chớ; cấm; không nên";""
一顿;yī dùn;NHẤT ĐỐN;"một bữa; một lần; một hồi";""
枉费;wǎngfèi;UỔNG PHÍ;"uổng phí; vô ích; uổng công";""
携带;xiédài;HUỀ ĐỚI;"mang theo; xách tay; mang đi cùng";""
考核;kǎohé;KHẢO HẠCH;"sát hạch; khảo hạch; khảo sát đánh giá";""
窃贼;qièzéi;THIẾT TẶC;"kẻ trộm; kẻ cắp; tên trộm";""
厚道;hòudao;HẬU ĐẠO;"phúc hậu; hiền hậu; Đài Loan đọc là [hòu dào]";""
调料;tiáoliào;ĐIỀU LIỆU;"gia vị; đồ gia vị";""
熟悉;shúxi;THỤC TẤT;"hiểu rõ; quen thuộc; quen (người, tình huống nào đó)";""
地道;dìdao;ĐỊA ĐẠO;"thuần túy; chân chính; chính gốc";""
熬夜;áoyè;NGAO DẠ;"thức khuya; thức đêm; thức sáng đêm";""
犒劳;kàoláo;KHAO LAO;"khao; đãi; thưởng";""
不吝;bùlìn;BẤT LẬN;"vui lòng; không tiếc (dùng khi trưng cầu ý kiến)";""
枢纽;shūniǔ;KHU NỮU;"đầu mối then chốt; đầu mối trọng yếu";""
不仅;bùjǐn;BẤT CẨN;"không chỉ; không những; chẳng những";""
趋势;qūshì;XU THẾ;"xu thế; chiều hướng; xu hướng";""
苗条;miáotiao;MIÊU ĐIỀU;"thanh mảnh; mảnh khảnh; mảnh mai";""
托;tuō;THÁC;"nâng; đỡ; đựng";""
际;jì;TẾ;"bờ; ranh giới; bờ bến";""
依赖;yīlài;Y LẠI;"ỷ lại; phụ thuộc vào; dựa vào";""
草稿;cǎogǎo;THẢO CẢO;"bản nháp; bản thảo; thảo bản";""
智慧;zhìhuì;TRÍ TUỆ;"trí tuệ; trí khôn; thông minh";""
灾;zāi;TAI;"tai hoạ; thảm họa; tai nạn";""
漂泊;piāobó;PHIÊU BẠC;"phiêu bạt; lang thang; phất phưởng";""
背景;bèijǐng;BỐI CẢNH;"phông; cảnh; nền";""
忽视;hūshì;HỐT THỊ;"xem nhẹ; coi nhẹ; bỏ qua";""
哲学;zhéxué;TRIẾT HỌC;"triết học";""
惆怅;chóuchàng;TRÙ TRƯỚNG;"phiền muộn; thương cảm; rầu rĩ";""
一刻;yīkè;NHẤT KHẮC;"khoảnh khắc; giây phút; 1 khắc";""
气氛;qìfēn;KHÍ PHÂN;"không khí; bầu không khí";""
矿泉水;kuàngquán shuǐ;KHOÁNG TUYỀN THỦY;"nước khoáng; nước suối";""
咳嗽;késou;KHÁI THẤU;"ho; ho hen; húng hắng";""
燃烧;ránshāo;NHIÊN THIÊU;"cháy; bùng cháy; bốc cháy";""
煎熬;jiān'áo;TIÊN NGAO;"dằn vặt; dày vò; chịu đựng";""
故障;gùzhàng;CỐ CHƯỚNG;"lỗi; trục trặc; hỏng hóc";""
就算;jiùsuàn;TỰU TOÁN;"dù; cho dù; ngay cả";""
宏观;hóngguān;HOÀNH QUAN;"vĩ mô";""
愤怒;fènnù;PHẪN NỘ;"phẫn nộ; căm phẫn; tức giận";""
枷锁;jiāsuǒ;GIA TOẢ;"gông xiềng; gông cùm; xiềng xích";""
羁绊;jībàn;KI BÁN;"ràng buộc; trói buộc; bó buộc";""
花拳绣腿;huāquánxiùtuǐ;HOA QUYỀN TÚ THỐI;"khoa chân múa tay; phô trương (chỉ múa may tỏ vẻ biết võ, chứ không hề biết võ, làm ra vẻ có năng lực nhưng thật sự bất tài.)";""
埋怨;mányuàn;MAI OÁN;"oán trách; oán hận; trách móc";""
枯竭;kūjié;KHÔ KIỆT;"khô cạn; cạn kiệt; khô kiệt (sức khoẻ, tài sản)";""
稍等;shāo děng;SẢO ĐẲNG;"đợi một chút; chờ một chút";""
糟糕;zāogāo;TAO CAO;"tệ; hỏng; hỏng bét";""
摧毁;cuīhuǐ;TỒI HUỶ;"phá huỷ; phá tan; đập tan";""
露馅;lòuxiàn;LỘ HÃM;"lộ; lộ tẩy; bại lộ";""
待续;dài xù;ĐÃI TỤC;"còn tiếp; còn nữa; còn tiếp tục";""
触摸;chùmō;XÚC MÔ;"chạm; đụng; sờ mó";""
堵车;dǔchē;ĐỔ XA;"kẹt xe; tắc đường; ùn tắc giao thông";""
逛街;guàngjiē;CUỐNG NHAI;"mua sắm; dạo phố; dạo bộ";""
洗碗;xǐ wǎn;TẨY OẢN;"rửa bát; rửa chén";""
若干;ruògān;NHƯỢC CAN;"vài; một vài; một số";""
纵横;zònghéng;TUNG HOÀNH;"ngang dọc; ngang và dọc; dọc ngang";""
治愈;zhìyù;TRỊ DŨ;"chữa khỏi; chữa lành";""
赐予;cìyǔ;TỨ DỮ;"thưởng; tặng; ban tặng";""
嘲笑;cháoxiào;TRÀO TIẾU;"chế giễu; chê cười, chế nhạo; cười giễu";""
灿烂;cànlàn;XÁN LẠN;"xán lạn; rực rỡ; sáng rực";""
至少;zhìshǎo;CHÍ THIỂU;"chí ít; ít nhất; ít ra";""
即使;jíshǐ;TỨC SỬ;"cho dù; dù cho; dẫu cho";""
辜负;gūfù;CÔ PHỤ;"phụ lòng; làm thất vọng; không xứng với";""
珍惜;zhēnxī;TRÂN TÍCH;"quý trọng; trân trọng; trân quý";""
骷髅;kūlóu;KHÔ LÂU;"Xương sọ; bộ xương";""
新颖;xīnyǐng;TÂN DĨNH;"mới mẻ; mới lạ";""
关键;guānjiàn;QUAN KIỆN;"mấu chốt; điều quan trọng; nhân tố quyết định";""
混乱;hùnluàn;HỖN LOẠN;"hỗn loạn; lẫn lộn; pha trộn";""
逻辑;luójí;LA TẬP;"luận lý; tư duy; luận lý học";""
效率;xiàolǜ;HIỆU LUẬT;"hiệu suất; năng suất (làm việc)";""
催促;cuīcù;THÔI XÚC;"thúc; giục; thúc giục";""
安慰;ānwèi;AN UÝ;"an ủi; xoa dịu; dỗ dành";""
沐浴;mùyù;MỘC DỤC;"được tắm; được gội; tắm";""
荡漾;dàngyàng;ĐÃNG DẠNG;"gợn sóng; dập dờn; trầm bổng";""
朝朝暮暮;zhāo zhāo mù mù;TRIÊU TRIÊU MỘ MỘ;"mọi lúc; ngày đêm; triền miên";""
