Simplified,Translation,Traditional,Pinyin
这一刻我们都明白了。,"Trong giây phút này, chúng tôi đã hiểu rõ.",這一刻我們都明白了。,zhè yīkè wǒmen dōu míngbái le 。
这一刻是我们最幸福的时光。,"Trong giây phút này, đây là thời gian hạnh phúc nhất.",這一刻是我們最幸福的時光。,zhè yīkè shì wǒmen zuì xìngfú de shíguāng 。
我一刻也不想离开这个城市。,Tôi không muốn rời bỏ thành phố này trong một giây.,我一刻也不想離開這個城市。,wǒ yīkè yě bùxiǎng líkāi zhège chéngshì 。
这一刻，我们紧紧相拥。,"Trong giây phút này, chúng tôi ôm nhau thật chặt.",這一刻，我們緊緊相擁。,zhè yīkè ， wǒmen jǐnjǐn xiāngyōng 。
那一刻我决定要勇敢面对。,"Trong khoảnh khắc đó, tôi quyết định phải can đảm đối mặt.",那一刻我決定要勇敢面對。,nàyīkè wǒ juédìng yào yǒnggǎn miànduì 。
这一刻，我看到了希望。,"Trong giây phút này, tôi thấy hy vọng.",這一刻，我看到了希望。,zhè yīkè ， wǒ kàndào le xīwàng 。
这一刻，我们共同庆祝。,"Trong giây phút này, chúng tôi cùng kỷ niệm.",這一刻，我們共同慶祝。,zhè yīkè ， wǒmen gòngtóng qìngzhù 。
这一刻，我只想安静地听音乐。,"Trong giây phút này, tôi chỉ muốn nghe nhạc yên tĩnh.",這一刻，我只想安靜地聽音樂。,zhè yīkè ， wǒ zhǐ xiǎng ānjìng dì tīng yīnyuè 。
这一刻，我感到前所未有的自由。,"Trong giây phút này, tôi cảm thấy tự do hơn bao giờ hết.",這一刻，我感到前所未有的自由。,zhè yīkè ， wǒ gǎndào qiánsuǒwèiyǒu de zìyóu 。
这一刻，我们之间的距离似乎消失了。,"Trong giây phút này, khoảng cách giữa chúng tôi như biến mất.",這一刻，我們之間的距離似乎消失了。,zhè yīkè ， wǒmen zhījiān de jùlí sìhū xiāoshī le 。
这一刻，我们共同经历了风雨。,"Trong giây phút này, chúng tôi đã cùng nhau trải qua những giông bão.",這一刻，我們共同經歷了風雨。,zhè yīkè ， wǒmen gòngtóng jīnglì le fēngyǔ 。
这一刻，我意识到梦想可以实现。,"Trong giây phút này, tôi nhận ra rằng giấc mơ có thể thành hiện thực.",這一刻，我意識到夢想可以實現。,zhè yīkè ， wǒ yìshí dào mèngxiǎng kěyǐ shíxiàn 。
那一刻，我们紧紧握住对方的手。,"Trong chốc lát, chúng tôi nắm chặt tay đối phương.",那一刻，我們緊緊握住對方的手。,nàyīkè ， wǒmen jǐnjǐn wòzhù duìfāng de shǒu 。
这一刻，他终于露出了笑容。,"Trong giây phút này, anh ấy cuối cùng đã mỉm cười.",這一刻，他終於露出了笑容。,zhè yīkè ， tā zhōngyú lùchū le xiàoróng 。
一晃十年过去了。,Một chốc đã trôi qua mười năm.,一晃十年過去了。,yīhuǎng shínián guòqù le 。
一晃而过的时光总是那么短暂。,Thời gian trôi qua thật nhanh và luôn ngắn ngủi.,一晃而過的時光總是那麼短暫。,yīhuǎngérguò de shíguāng zǒngshì nàme duǎnzàn 。
一晃我来这儿已经五年了。,Một chốc tôi đã ở đây được năm năm rồi.,一晃我來這兒已經五年了。,yīhuǎng wǒlái zhèér yǐjīng wǔnián le 。
一晃我们已经毕业五年了。,Một chốc chúng ta đã tốt nghiệp được năm năm.,一晃我們已經畢業五年了。,yīhuǎng wǒmen yǐjīng bìyè wǔnián le 。
一晃他的头发已经花白了。,Một chốc mái tóc ông đã bạc trắng.,一晃他的頭髮已經花白了。,yīhuǎng tā de tóufà yǐjīng huābái le 。
一晃，他已经从一个小男孩长成了大哥哥。,"Một chốc, anh ấy đã từ một cậu bé trở thành anh trai.",一晃，他已經從一個小男孩長成了大哥哥。,yīhuǎng ， tā yǐjīng cóng yígè xiǎonánhái zhǎngchéng le dà gēgē 。
一晃，他的人生已经走过了大半。,"Một chốc, cuộc đời của anh đã đi qua phần lớn.",一晃，他的人生已經走過了大半。,yīhuǎng ， tā de rénshēng yǐjīng zǒuguò le dàbàn 。
一晃，我已经在这个城市待了三年。,"Một chốc, tôi đã ở thành phố này được ba năm.",一晃，我已經在這個城市待了三年。,yīhuǎng ， wǒ yǐjīng zài zhège chéngshì dài le sānnián 。
一晃，她已经退休了。,"Một chốc, cô ấy đã nghỉ hưu.",一晃，她已經退休了。,yīhuǎng ， tā yǐjīng tuìxiū le 。
一晃，他已经是一位父亲。,"Một chốc, anh ấy đã là một người cha.",一晃，他已經是一位父親。,yīhuǎng ， tā yǐjīng shì yīwèi fùqīn 。
一晃，他已经成为公司的高层。,"Một chốc, anh ấy đã trở thành cấp trên của công ty.",一晃，他已經成爲公司的高層。,yīhuǎng ， tā yǐjīng chéngwéi gōngsī de gāocéng 。
一晃，他的梦想已经实现。,"Một chốc, ước mơ của anh ấy đã thành hiện thực.",一晃，他的夢想已經實現。,yīhuǎng ， tā de mèngxiǎng yǐjīng shíxiàn 。
一晃，他的头发就已经稀疏了。,"Một chốc, mái tóc anh ấy đã mỏng.",一晃，他的頭髮就已經稀疏了。,yīhuǎng ， tā de tóufà jiù yǐjīng xīshū le 。
一晃，他已经不再年轻。,"Một chốc, anh ấy không còn trẻ nữa.",一晃，他已經不再年輕。,yīhuǎng ， tā yǐjīng bùzài niánqīng 。
一晃，他的人生已经历了太多风风雨雨。,"Một chốc, cuộc đời anh ấy đã trải qua quá nhiều mưa gió.",一晃，他的人生已經歷了太多風風雨雨。,yīhuǎng ， tā de rénshēng yǐ jīnglì le tài duō fēngfēngyǔyǔ 。
一晃，他已经从青涩少年变成了成熟男人。,"Một chốc, anh ấy đã từ thiếu niên non nớt trở thành người đàn ông trưởng thành.",一晃，他已經從青澀少年變成了成熟男人。,yīhuǎng ， tā yǐjīng cóng qīngsè shàonián biànchéng le chéngshú nánrén 。
一晃，他已经不再是学生了。,"Một chốc, anh ấy không còn là học sinh nữa.",一晃，他已經不再是學生了。,yīhuǎng ， tā yǐjīng bùzài shì xuéshēng le 。
一晃，他已经搬到了新的公寓。,"Một chốc, anh ấy đã chuyển đến căn hộ mới.",一晃，他已經搬到了新的公寓。,yīhuǎng ， tā yǐjīng bāndào le xīn de gōngyù 。
一晃，他已经不再那么急躁了。,"Một chốc, anh ấy không còn nóng nảy như trước nữa.",一晃，他已經不再那麼急躁了。,yīhuǎng ， tā yǐjīng bùzài nàme jízào le 。
一晃，他已经成为家庭的顶梁柱。,"Một chốc, anh ấy đã trở thành cột mạc gia đình.",一晃，他已經成爲家庭的頂樑柱。,yīhuǎng ， tā yǐjīng chéngwéi jiātíng de dǐngliángzhù 。
他一朝得志便不再念旧情。,Anh ta một khi đắc chí liền không còn nhớ ơn.,他一朝得志便不再念舊情。,tā yīzhāo dézhì biàn bùzài niànjiùqíng 。
他一朝失意便不再念旧情。,Anh ta một khi thất bại liền không còn nhớ ơn.,他一朝失意便不再念舊情。,tā yīzhāo shīyì biàn bùzài niànjiùqíng 。
她一朝成名便成了众人瞩目的焦点。,Cô ấy một khi nổi tiếng liền trở thành tâm điểm của mọi người.,她一朝成名便成了衆人矚目的焦點。,tā yīzhāo chéngmíng biànchéng le zhòngrén zhǔmù de jiāodiǎn 。
他一朝入狱便失去了自由。,Anh ta một khi vào tù liền mất đi tự do.,他一朝入獄便失去了自由。,tā yīzhāo rùyù biàn shīqù le zìyóu 。
她一朝病愈便恢复了健康。,Cô ấy một khi bệnh healed liền phục hồi sức khỏe.,她一朝病癒便恢復了健康。,tā yīzhāo bìngyù biàn huīfù le jiànkāng 。
他一朝上位便不再关心旧友。,Anh ta một khi lên chức liền không còn quan tâm đến bạn cũ.,他一朝上位便不再關心舊友。,tā yīzhāo shàngwèi biàn bùzài guānxīn jiùyǒu 。
她一朝怀孕便改变了生活方式。,Cô ấy một khi mang thai liền thay đổi lối sống.,她一朝懷孕便改變了生活方式。,tā yīzhāo huáiyùn biàn gǎibiàn le shēnghuó fāngshì 。
他一朝失业便陷入了困境。,Anh ta một khi mất việc liền rơi vào cảnh khó khăn.,他一朝失業便陷入了困境。,tā yīzhāo shīyè biàn xiànrù le kùnjìng 。
她一朝离婚便重新找回了自我。,Cô ấy một khi ly hôn liền tìm lại được bản thân.,她一朝離婚便重新找回了自我。,tā yīzhāo líhūn biàn chóngxīn zhǎohuí le zìwǒ 。
他一朝入伍便离开了家乡。,Anh ta một khi nhập ngũ liền rời bỏ quê hương.,他一朝入伍便離開了家鄉。,tā yīzhāo rùwǔ biàn líkāi le jiāxiāng 。
她一朝升学便离开了父母。,Cô ấy một khi vào học đại học liền xa lìa cha mẹ.,她一朝升學便離開了父母。,tā yīzhāo shēngxué biàn líkāi le fùmǔ 。
他一朝升官便不再关心平民。,Anh ta một khi thăng chức liền không còn quan tâm đến dân chúng.,他一朝升官便不再關心平民。,tā yīzhāo shēngguān biàn bùzài guānxīn píngmín 。
她一朝毕业便离开了校园。,Cô ấy một khi tốt nghiệp liền rời khỏi trường học.,她一朝畢業便離開了校園。,tā yīzhāo bìyè biàn líkāi le xiàoyuán 。
他一朝犯错便失去了机会。,Anh ta một khi phạm lỗi liền mất đi cơ hội.,他一朝犯錯便失去了機會。,tā yīzhāo fàncuò biàn shīqù le jīhuì 。
她一朝失恋便陷入了悲伤。,Cô ấy một khi thất tình liền rơi vào nỗi buồn.,她一朝失戀便陷入了悲傷。,tā yīzhāo shīliàn biàn xiànrù le bēishāng 。
他一朝失财便陷入了困境。,Anh ta một khi mất tiền liền rơi vào cảnh khó khăn.,他一朝失財便陷入了困境。,tā yīzhāo shīcái biàn xiànrù le kùnjìng 。
她一朝失手便失去了生命。,Cô ấy một khi sơ suất liền mất mạng.,她一朝失手便失去了生命。,tā yīzhāo shīshǒu biàn shīqù le shēngmìng 。
他一朝失言便陷入了麻烦。,Anh ta một khi nói dại liền gặp rắc rối.,他一朝失言便陷入了麻煩。,tā yīzhāo shīyán biàn xiànrù le máfán 。
她一朝失忆便失去了记忆。,Cô ấy một khi mất trí nhớ liền mất đi ký ức.,她一朝失憶便失去了記憶。,tā yīzhāo shīyì biàn shīqù le jìyì 。
他一朝失足便跌入了深渊。,Anh ta một khi té ngã liền rơi vào vực sâu.,他一朝失足便跌入了深淵。,tā yīzhāo shīzú biàn diērù le shēnyuān 。
她一朝失宠便失去了地位。,Cô ấy một khi mất sủng liền mất đi địa vị.,她一朝失寵便失去了地位。,tā yīzhāo shīchǒng biàn shīqù le dìwèi 。
一般而言，这种饮料不适合儿童饮用。,Loại đồ uống này thường không phù hợp với trẻ em.,一般而言，這種飲料不適合兒童飲用。,yìbānéryán ， zhèzhǒng yǐnliào bù shìhé értóng yǐnyòng 。
一般而言，这家公司的业务增长很快。,Doanh nghiệp này thường có tốc độ tăng trưởng kinh doanh nhanh.,一般而言，這家公司的業務增長很快。,yìbānéryán ， zhèjiā gōngsī de yèwù zēngzhǎng hěnkuài 。
一般而言，这是一份非常好的工作机会。,Đây thường là một cơ hội việc làm tốt.,一般而言，這是一份非常好的工作機會。,yìbānéryán ， zhèshì yīfèn fēicháng hǎo de gōngzuò jīhuì 。
一般情况下，这个公园周末会更拥挤。,Công viên thường đông hơn vào cuối tuần.,一般情況下，這個公園週末會更擁擠。,yìbān qíngkuàng xià ， zhège gōngyuán zhōumò huì gèng yōngjǐ 。
一般而言，这类问题应该由专业人士解决。,Những vấn đề này thường nên được giải quyết bởi các chuyên gia.,一般而言，這類問題應該由專業人士解決。,yìbānéryán ， zhè lèi wèntí yīnggāi yóu zhuānyèrénshì jiějué 。
一般而言，学习一门新语言需要很多时间和努力。,Để học một ngôn ngữ mới thường cần nhiều thời gian và nỗ lực.,一般而言，學習一門新語言需要很多時間和努力。,yìbānéryán ， xuéxí yīmén xīn yǔyán xūyào hěnduō shíjiān hé nǔlì 。
一般而言，天气预报的准确性会受季节影响。,Độ chính xác của dự báo thời tiết thường bị ảnh hưởng bởi mùa.,一般而言，天氣預報的準確性會受季節影響。,yìbānéryán ， tiānqìyùbào de zhǔnquèxìng huìshòu jìjié yǐngxiǎng 。
一般情况下，会议通常在上午十点开始。,Hội nghị thường bắt đầu vào mười giờ sáng.,一般情況下，會議通常在上午十點開始。,yìbān qíngkuàng xià ， huìyì tōngcháng zài shàngwǔ shídiǎn kāishǐ 。
一般而言，健康饮食对所有人都有益。,Ăn uống lành mạnh thường có lợi cho mọi người.,一般而言，健康飲食對所有人都有益。,yìbānéryán ， jiànkāng yǐnshí duì suǒyǒurén dōu yǒuyì 。
一般而言，这种类型的项目需要跨部门合作。,Dự án loại này thường yêu cầu sự hợp tác giữa các bộ phận.,一般而言，這種類型的項目需要跨部門合作。,yìbānéryán ， zhèzhǒng lèixíng de xiàngmù xūyào kuàbùmén hézuò 。
一般情况下，这个季节是旅游的最佳时期。,Đây là mùa du lịch tốt nhất trong năm.,一般情況下，這個季節是旅遊的最佳時期。,yìbān qíngkuàng xià ， zhège jìjié shì lǚyóu de zuìjiāshíqī 。
一般而言，这类问题的答案并不总是显而易见的。,Đáp án cho những vấn đề này thường không rõ ràng.,一般而言，這類問題的答案並不總是顯而易見的。,yìbānéryán ， zhè lèi wèntí de dáàn bìng bù zǒngshì xiǎnéryìjiàn de 。
一般情况下，这个计划需要更多的资金支持。,Dự án này thường cần thêm sự hỗ trợ về mặt tài chính.,一般情況下，這個計劃需要更多的資金支持。,yìbān qíngkuàng xià ， zhège jìhuà xūyào gèng duō de zījīn zhīchí 。
一般而言，这种天气状况会持续几天。,Điều kiện thời tiết này thường kéo dài trong vài ngày.,一般而言，這種天氣狀況會持續幾天。,yìbānéryán ， zhèzhǒng tiānqìzhuàngkuàng huì chíxù jǐtiān 。
一般而言，这个地区的人们生活节奏较快。,Người dân ở khu vực này thường có nhịp sống nhanh.,一般而言，這個地區的人們生活節奏較快。,yìbānéryán ， zhège dìqū de rénmen shēnghuójiézòu jiào kuài 。
一般而言，这种类型的音乐比较适合晚上听。,Loại âm nhạc này thường phù hợp để nghe vào buổi tối.,一般而言，這種類型的音樂比較適合晚上聽。,yìbānéryán ， zhèzhǒng lèixíng de yīnyuè bǐjiào shìhé wǎnshàng tīng 。
一般而言，这种类型的项目会遇到一些挑战。,Dự án loại này thường gặp phải một số thách thức.,一般而言，這種類型的項目會遇到一些挑戰。,yìbānéryán ， zhèzhǒng lèixíng de xiàngmù huì yùdào yīxiē tiǎozhàn 。
一般而言，这个项目需要更多的资源。,Dự án này thường cần thêm nguồn lực.,一般而言，這個項目需要更多的資源。,yìbānéryán ， zhège xiàngmù xūyào gèng duō de zīyuán 。
一般情况下，这个活动会在周末举行。,Sự kiện thường được tổ chức vào cuối tuần.,一般情況下，這個活動會在週末舉行。,yìbān qíngkuàng xià ， zhège huódòng huì zài zhōumò jǔxíng 。
他吃了一顿丰盛的午餐。,Anh ấy đã ăn một bữa trưa rất dồi dào.,他喫了一頓豐盛的午餐。,tā chī le yīdùn fēngshèng de wǔcān 。
他花了整整一顿饭的时间才吃完这道菜。,Anh ấy đã mất cả bữa ăn để hoàn thành món ăn này.,他花了整整一頓飯的時間才喫完這道菜。,tāhuā le zhěngzhěng yīdùnfàn de shíjiān cái chī wán zhè dàocài 。
她请我吃了一顿非常美味的家乡菜。,Cô ấy đã mời tôi ăn một bữa ăn ngon miệng rất đặc trưng của quê hương.,她請我喫了一頓非常美味的家鄉菜。,tā qǐng wǒ chī le yīdùn fēicháng měiwèi de jiāxiāng cài 。
他请客户吃了一顿饭来庆祝业务合作。,Anh ấy đã mời khách hàng ăn một bữa ăn để kỷ niệm hợp tác kinh doanh.,他請客戶喫了一頓飯來慶祝業務合作。,tā qǐng kèhù chī le yīdùnfàn lái qìngzhù yèwù hézuò 。
他只吃了一顿便餐，因为太忙了。,Anh ấy chỉ ăn một bữa ăn nhanh vì quá bận rộn.,他只喫了一頓便餐，因爲太忙了。,tā zhǐ chī le yīdùn biàncān ， yīnwèi tàimáng le 。
他做了一顿早餐给家人。,Anh ấy đã nấu một bữa sáng cho gia đình.,他做了一頓早餐給家人。,tā zuò le yīdùn zǎocān gěi jiārén 。
她请男朋友吃了一顿浪漫的晚餐。,Cô ấy đã mời bạn trai ăn một bữa tối lãng mạn.,她請男朋友喫了一頓浪漫的晚餐。,tā qǐng nánpéngyǒu chī le yīdùn làngmàn de wǎncān 。
他花了很长时间准备一顿美味的晚餐。,Anh ấy đã tốn rất nhiều thời gian để nấu một bữa tối ngon.,他花了很長時間準備一頓美味的晚餐。,tāhuā le hěn zhǎngshíjiān zhǔnbèi yīdùn měiwèi de wǎncān 。
他们约定在一家餐厅吃一顿饭。,Họ đã hẹn nhau ăn một bữa tại một nhà hàng.,他們約定在一家餐廳喫一頓飯。,tāmen yuēdìng zài yījiā cāntīng chī yīdùnfàn 。
他做了一顿简单的午餐。,Anh ấy đã nấu một bữa trưa đơn giản.,他做了一頓簡單的午餐。,tā zuò le yīdùn jiǎndān de wǔcān 。
他请同事吃了一顿便餐来感谢他们的帮助。,Anh ấy đã mời đồng nghiệp ăn một bữa ăn nhanh để cảm ơn sự giúp đỡ của họ.,他請同事喫了一頓便餐來感謝他們的幫助。,tā qǐng tóngshì chī le yīdùn biàncān lái gǎnxiè tāmen de bāngzhù 。
他请客户吃了一顿饭，希望促成合作。,Anh ấy đã mời khách hàng ăn một bữa để mong muốn đạt được hợp tác.,他請客戶喫了一頓飯，希望促成合作。,tā qǐng kèhù chī le yīdùnfàn ， xīwàng cùchéng hézuò 。
不仅她会唱歌，还会跳舞。,Cô ấy không chỉ hát mà còn nhảy múa.,不僅她會唱歌，還會跳舞。,bùjǐn tā huì chànggē ， háihuì tiàowǔ 。
不仅你得到了晋升，公司还给了你奖金。,Không chỉ bạn được thăng tiến mà công ty còn trao cho bạn một khoản thưởng.,不僅你得到了晉升，公司還給了你獎金。,bùjǐn nǐ dédào le jìnshēng ， gōngsī huángěi le nǐ jiǎngjīn 。
不仅这本书很厚，而且内容也很丰富。,Không chỉ cuốn sách này dày mà còn có nội dung phong phú.,不僅這本書很厚，而且內容也很豐富。,bùjǐn zhè běnshū hěn hòu ， érqiě nèiróng yě hěn fēngfù 。
不仅他喜欢篮球，还经常参加比赛。,Anh ấy không chỉ yêu thích bóng rổ mà còn tham gia thi đấu thường xuyên.,不僅他喜歡籃球，還經常參加比賽。,bùjǐn tā xǐhuān lánqiú ， hái jīngcháng cānjiā bǐsài 。
不仅孩子们喜欢玩游戏，大人们也很喜欢。,Không chỉ trẻ con mà người lớn cũng rất thích chơi game.,不僅孩子們喜歡玩遊戲，大人們也很喜歡。,bùjǐn háizi men xǐhuān wányóuxì ， dà rénmen yě hěn xǐhuān 。
不仅他擅长唱歌，还擅长跳舞。,Anh ấy không chỉ giỏi hát mà còn giỏi nhảy múa.,不僅他擅長唱歌，還擅長跳舞。,bùjǐn tā shàncháng chànggē ， hái shàncháng tiàowǔ 。
不仅你错了，我也有错。,Không chỉ bạn sai mà tôi cũng có lỗi.,不僅你錯了，我也有錯。,bùjǐn nǐ cuò le ， wǒ yě yǒu cuò 。
不仅这家餐厅的食物美味，服务也很周到。,Không chỉ món ăn ở nhà hàng này ngon mà dịch vụ cũng rất chu đáo.,不僅這家餐廳的食物美味，服務也很周到。,bùjǐn zhèjiā cāntīng de shíwù měiwèi ， fúwù yě hěn zhōudào 。
不仅他喜欢读书，他的妹妹也一样。,Anh ấy không chỉ thích đọc sách mà em gái anh ấy cũng vậy.,不僅他喜歡讀書，他的妹妹也一樣。,bùjǐn tā xǐhuān dúshū ， tā de mèimèi yě yīyàng 。
不仅他学习努力，成绩也很好。,Không chỉ anh ấy học tập chăm chỉ mà thành tích học tập cũng rất tốt.,不僅他學習努力，成績也很好。,bùjǐn tā xuéxí nǔlì ， chéngjì yě hěn hǎo 。
不仅她喜欢旅游，还喜欢摄影。,Cô ấy không chỉ yêu thích du lịch mà còn thích chụp ảnh.,不僅她喜歡旅遊，還喜歡攝影。,bùjǐn tā xǐhuān lǚyóu ， hái xǐhuān shèyǐng 。
不仅你有朋友，你的妹妹也有很多朋友。,Không chỉ bạn có bạn bè mà em gái bạn cũng có nhiều bạn bè.,不僅你有朋友，你的妹妹也有很多朋友。,bùjǐn nǐ yǒu péngyǒu ， nǐ de mèimèi yě yǒu hěnduō péngyǒu 。
不仅他的车很新，还非常漂亮。,Không chỉ xe của anh ấy mới mà còn rất đẹp.,不僅他的車很新，還非常漂亮。,bùjǐn tā de chē hěn xīn ， hái fēicháng piàoliàng 。
不仅她会做饭，还会烘焙。,Cô ấy không chỉ nấu ăn mà còn biết làm bánh.,不僅她會做飯，還會烘焙。,bùjǐn tā huì zuòfàn ， háihuì hōngbèi 。
不仅他喜欢看电影，他的妻子也一样。,Anh ấy không chỉ thích xem phim mà vợ anh ấy cũng vậy.,不僅他喜歡看電影，他的妻子也一樣。,bùjǐn tā xǐhuān kàn diànyǐng ， tā de qīzǐ yě yīyàng 。
不仅她会弹钢琴，还会拉小提琴。,Cô ấy không chỉ chơi đàn piano mà còn chơi violin.,不僅她會彈鋼琴，還會拉小提琴。,bùjǐn tā huì tángāngqín ， háihuì lā xiǎotíqín 。
不仅他喜欢健身，还经常参加马拉松比赛。,Anh ấy không chỉ thích tập thể dục mà còn tham gia thi đấu marathon thường xuyên.,不僅他喜歡健身，還經常參加馬拉松比賽。,bùjǐn tā xǐhuān jiànshēn ， hái jīngcháng cānjiā mǎlāsōng bǐsài 。
不仅她喜欢阅读，还喜欢写日记。,Cô ấy không chỉ thích đọc sách mà còn thích viết nhật ký.,不僅她喜歡閱讀，還喜歡寫日記。,bùjǐn tā xǐhuān yuèdú ， hái xǐhuān xiěrìjì 。
不仅他擅长画画，还擅长雕刻。,Anh ấy không chỉ giỏi vẽ mà còn giỏi điêu khắc.,不僅他擅長畫畫，還擅長雕刻。,bùjǐn tā shàncháng huàhuà ， hái shàncháng diāokè 。
不仅她会游泳，还会潜水。,Cô ấy không chỉ biết bơi mà còn biết lặn.,不僅她會游泳，還會潛水。,bùjǐn tā huì yóuyǒng ， háihuì qiánshuǐ 。
他不吝分享自己的知识。,Anh ấy không tiếc chia sẻ kiến thức của mình.,他不吝分享自己的知識。,tā bùlìn fēnxiǎng zìjǐ de zhīshí 。
